Docente;Día;Hueco;Módulo;Grupo;Aula;Tipo
MDAn;5ie;3;;;;P.P.
MGOl;5ie;3;;;;AAPM
FMCa;5ie;3;;;;TUT
MCCA;5ie;3;;;;CHL
GGJJ;5ie;3;;;;FCT
HLOL;5ie;3;;;;P.P.
GMMA;5ie;3;;;;CHL
SPMA;5ie;3;;;;FCT
CGCR;5ie;3;;;;P.P.
ABJa;5ie;3;;;;P.P.
LBAD;5ie;3;;;;P.P.
LLMa;5ie;3;;;;RED
GRMAm;5ie;3;;;;RED
MTSA;5ie;3;;;;AAPM
PGCA;5ie;3;;;;P.P.
RZSU;5ie;3;;;;P.P.
MSJM;5ie;3;;;;P.P.
SGDR;5ie;3;;;;AAPM
GSA;5ie;3;;;;RED
LARO;5ie;3;;;;JD
BBNO;5ie;3;;;;FCT
CFJA;5ie;3;;;;TUT
GMFJa;5ie;3;;;;CHL
PBM;5ie;3;;;;P.P.
GIMM;5ie;3;;;;TOR
LLAC;5ie;3;;;;FCT
ISYO;5ie;3;;;;FCT
ISSM;5ie;3;;;;ApJE
VBMG;5ie;3;;;;RED
GLYo;5ie;3;;;;RED
MGOl;5ie;4;EMYP;IMP203.1;A01;LEC
PMAT;5ie;4;MQFB;IMP101.2;A02;LEC
RGRa;5ie;4;FOLAB;ELE202.1;A10;LEC
MTSA;5ie;4;COEB;IMP202.1;A11;LEC
LLAC;5ie;4;PRSUP;TMV201.2;A12;LEC
AAIg;5ie;4;PRLA;TMV101.1A;A13;LEC
BLLMa;5ie;4;FOLAB;TMV202.1;A30;LEC
BMAIs;5ie;4;LEUPR;TMV301.1;A31;LEC
GSA;5ie;4;TCREL;TMV301.2;A34;LEC
RMJC;5ie;4;SAXMO;TMV202.2;A35;LEC
VBMG;5ie;4;FOLAB;QUI201.1;A41;LEC
MAMo;5ie;4;OAQM;QUI201.2;A51;LEC
ISYO;5ie;4;DWESE;IFC303.2-D;AT.TFNO;LEC
GSJL;5ie;4;SIINF;IFC302.1-D;AT.TFNO2;LEC
RZSU;5ie;4;ACES;IMP202.2;B01;LEC
JRIS;5ie;4;TECC;IMP203.2;B02;LEC
PZRu;5ie;4;CEACL;ADG201.1;B10;LEC
LFTE;5ie;4;OAGTS;ADG201.2;B11;LEC
MBMS;5ie;4;CIA1;IMP101.1;B12;LEC
AFE;5ie;4;GLYC;ADG301.2;B20;LEC
GGJJ;5ie;4;PIAC;ADG301.1;B21;LEC
CMIS;5ie;4;SAPRO;FME203.2;C000 b;LEC
PBA;5ie;4;SANAT;FME203.1;c000 b v;LEC
DEAl;5ie;4;TPIDA;ELE302.2;C100;LEC
LLMa;5ie;4;SSPR;ELE303.1;C102;LEC
PACRe;5ie;4;IEBAS;ELE203.1;C103;LEC
SGDR;5ie;4;ANEH;IMA201.1;C104;LEC
MRJR;5ie;4;MMEE;IMA201.2;C106;LEC
GCCR;5ie;4;EIEMP;ELE203.2;C107;LEC
PGCA;5ie;4;SMEC;IMA302.1;C109;LEC
IGJL;5ie;4;ICTVE;ELE202.2;C200;LEC
FMGE;5ie;4;SIHD;ELE304.2;C202;LEC
GPA;5ie;4;CIST;ELE304.1;C203;LEC
BDJL;5ie;4;CIST;ELE304.1;C203;LEC
MMBE;5ie;4;SCELE;ELE302.1;C204;LEC
FMCa;5ie;4;PARDS;IFC301.1;C206;LEC
RFVM;5ie;4;IAWEB;IFC301.2;C207;LEC
AVMY;5ie;4;PROGR;IFC303.1;C208;LEC
ABJa;5ie;4;SOPMO;IFC201.1;C209;LEC
CAJC;5ie;4;DAWEB;IFC303.2;C210;LEC
LLLM;5ie;4;APWEB;IFC201.2;C211;LEC
SGCA;5ie;4;PGMC;IMA302.2;C213;LEC
LBAD;5ie;4;AMVB;TMV101.2;CAR1B;LEC
RRAN;5ie;4;EMSIN;TMV201.1;CAR3;LEC
SBAL;5ie;4;EMSIN;TMV201.1;CAR3;LEC
GMFJa;5ie;4;MEYS;TMV101.1B;ELV1;LEC
RMJC;5ie;4;SAXMO;TMV202.2;ELV5;LEC
CAMP;5ie;4;;;;G
HLOL;5ie;4;;;;G
GRD;5ie;4;;;;G
GMMA;5ie;4;;;;G
PBM;5ie;4;;;;G
ESIS;5ie;4;;;;G
ARAN;5ie;4;;;;FCT
GAPA;5ie;4;;;;P.P.
RBCR;5ie;4;;;;FCT
FCBJ;5ie;4;;;;AAPM
AOJM;5ie;4;;;;P.P.
TRJ;5ie;4;;;;AAPM
ZCJC;5ie;4;;;;AAPM
LALU;5ie;4;;;;AAPM
VACA;5ie;4;;;;P.P.
ABJL;5ie;4;;;;CHL
RCCM;5ie;4;;;;FCT
MDAn;5ie;4;;;;AAPM
FPPA;5ie;4;;;;FCT
GBGU;5ie;4;;;;P.P.
DCAL;5ie;4;;;;RED
MCCA;5ie;4;;;;ApUC
GAAN;5ie;4;;;;P.P.
GQJL;5ie;4;;;;FCT
NRMP;5ie;4;;;;P.P.
RPFJ;5ie;4;;;;TUT
FPLU;5ie;4;;;;P.P.
LLPAd;5ie;4;;;;RED
CAE;5ie;4;;;;P.P.
MRMA;5ie;4;;;;UCOORD
SPMA;5ie;4;;;;FCT
CGCR;5ie;4;;;;AAPM
BSVA;5ie;4;;;;RED
LSMM;5ie;4;;;;AAPM
GRMAm;5ie;4;;;;AAPM
AMMB;5ie;4;;;;UCOORD
MSJM;5ie;4;;;;AAPM
GSGE;5ie;4;;;;P.P.
LARO;5ie;4;;;;JD
CFJA;5ie;4;;;;CHL
GIMM;5ie;4;;;;AAPM
LCAMa;5ie;4;;;;J E A
ISSM;5ie;4;;;;UCOORD
MGOl;5ie;5;EMYP;IMP203.1;A01;LEC
PMAT;5ie;5;MQFB;IMP101.2;A02;LEC
MRMA;5ie;5;EIEMP;TMV301.2;A10;LEC
CAMP;5ie;5;ANES;IMP202.1;A11;LEC
GSA;5ie;5;EESVE;TMV201.2;A12;LEC
MBMS;5ie;5;CIA1;TMV101.1A;A13;LEC
TRJ;5ie;5;CIA1;TMV101.1A;A13;LEC
BLLMa;5ie;5;EIEMP;FME203.2;A30;LEC
SBAL;5ie;5;EAFNS;TMV301.1;A34;LEC
GRD;5ie;5;EAFNS;TMV301.1;A34;LEC
MAMo;5ie;5;QUAP;QUI201.1;A41;LEC
SPMA;5ie;5;ENDES;IFC303.1-D;AT.TFNO;LEC
RZSU;5ie;5;ACES;IMP202.2;B01;LEC
JRIS;5ie;5;TECC;IMP203.2;B02;LEC
AFE;5ie;5;TIINF;ADG201.1;B10;LEC
PZRu;5ie;5;EMPAU;ADG201.2;B11;LEC
AOJM;5ie;5;COS1;IMP101.1;B12;LEC
GAAN;5ie;5;SIEM;ADG301.2;B20;LEC
GGJJ;5ie;5;PIAC;ADG301.1;B21;LEC
PBA;5ie;5;SANAT;FME203.1;C000 b;LEC
DEAl;5ie;5;TPIDA;ELE302.2;C100;LEC
LLMa;5ie;5;SSPR;ELE303.1;C102;LEC
PACRe;5ie;5;IEBAS;ELE203.1;C103;LEC
SGDR;5ie;5;ANEH;IMA201.1;C104;LEC
MRJR;5ie;5;MMEE;IMA201.2;C106;LEC
PGCA;5ie;5;SMEC;IMA302.1;C109;LEC
MSJM;5ie;5;PMEL;QUI201.2;C110;LEC
IGJL;5ie;5;ICTVE;ELE202.2;C200;LEC
GRMAm;5ie;5;IMSON;ELE203.2;C201;LEC
MCCA;5ie;5;SIRL;ELE304.1;C202;LEC
GPA;5ie;5;PSTI;ELE304.2;C203;LEC
MMBE;5ie;5;SCELE;ELE302.1;C204;LEC
ISSM;5ie;5;ELTEC;ELE202.1;C205;LEC
FMCa;5ie;5;PARDS;IFC301.1;C206;LEC
RFVM;5ie;5;PASIR;IFC301.2;C207;LEC
AVMY;5ie;5;LMSGI;IFC303.1;C208;LEC
ABJa;5ie;5;SOPMO;IFC201.1;C209;LEC
ISYO;5ie;5;DWESE;IFC303.2;C210;LEC
MDAn;5ie;5;SORED;IFC201.2;C211;LEC
SGCA;5ie;5;PGMC;IMA302.2;C213;LEC
LBAD;5ie;5;AMVB;TMV101.2;CAR1B;LEC
LLAC;5ie;5;AMVB;TMV101.2;CAR1B;LEC
ESIS;5ie;5;EFIJ;TMV201.1;CAR3;LEC
RRAN;5ie;5;EFIJ;TMV201.1;CAR3;LEC
GMFJa;5ie;5;MEYS;TMV101.1B;ELV1;LEC
GMMA;5ie;5;SCAAR;TMV202.1;ELV3;LEC
RMJC;5ie;5;SAXMO;TMV202.2;ELV5;LEC
HLOL;5ie;5;;;;G
BSVA;5ie;5;;;;G
LSMM;5ie;5;;;;G
GSJL;5ie;5;;;;G
CAJC;5ie;5;;;;G
FMGE;5ie;5;;;;G
ARAN;5ie;5;;;;FCT
CMIS;5ie;5;;;;AAPM
FCBJ;5ie;5;;;;RED
ZCJC;5ie;5;;;;CHL
LALU;5ie;5;;;;CHL
VACA;5ie;5;;;;RED
ABJL;5ie;5;;;;CHL
RCCM;5ie;5;;;;FCT
FPPA;5ie;5;;;;FCT
GBGU;5ie;5;;;;P.P.
GQJL;5ie;5;;;;RED
NRMP;5ie;5;;;;RED
RPFJ;5ie;5;;;;CHL
CAE;5ie;5;;;;RED
LFTE;5ie;5;;;;P.P.
CGCR;5ie;5;;;;CHL
GCCR;5ie;5;;;;P.P.
BDJL;5ie;5;;;;P.P.
AMMB;5ie;5;;;;RED
BMAIs;5ie;5;;;;RED
GSGE;5ie;5;;;;RED
LARO;5ie;5;;;;P.P.
CFJA;5ie;5;;;;CHL
AAIg;5ie;5;;;;CHL
PBM;5ie;5;;;;AAPM
GIMM;5ie;5;;;;AAPM
LLLM;5ie;5;;;;C.DIST.
LCAMa;5ie;5;;;;ApJE
RGRa;5ie;5;;;;RED
MGOl;5ie;6;EMYP;IMP203.1;A01;LEC
PMAT;5ie;6;MQFB;IMP101.2;A02;LEC
MRMA;5ie;6;EIEMP;TMV301.2;A10;LEC
CAMP;5ie;6;ICHS;IMP202.1;A11;LEC
GSA;5ie;6;EESVE;TMV201.2;A12;LEC
MBMS;5ie;6;CIA1;TMV101.1A;A13;LEC
TRJ;5ie;6;CIA1;TMV101.1A;A13;LEC
BLLMa;5ie;6;EIEMP;FME203.2;A30;LEC
RGRa;5ie;6;EIEMP;ELE304.2;A31;LEC
CFJA;5ie;6;STFTR;TMV301.1;A34;LEC
GRD;5ie;6;STFTR;TMV301.1;A34;LEC
MAMo;5ie;6;QUAP;QUI201.1;A41;LEC
RZSU;5ie;6;ACES;IMP202.2;B01;LEC
JRIS;5ie;6;TECC;IMP203.2;B02;LEC
AFE;5ie;6;TIINF;ADG201.1;B10;LEC
PZRu;5ie;6;EMPAU;ADG201.2;B11;LEC
AOJM;5ie;6;COS1;IMP101.1;B12;LEC
GAAN;5ie;6;SIEM;ADG301.2;B20;LEC
GGJJ;5ie;6;RHRSC;ADG301.1;B21;LEC
PBM;5ie;6;TCCON;FME203.1;C000 b;LEC
DEAl;5ie;6;TPIDA;ELE302.2;C100;LEC
GRMAm;5ie;6;EMINF;ELE203.1;C101;LEC
LLMa;5ie;6;SSPR;ELE303.1;C102;LEC
SGDR;5ie;6;ANEH;IMA201.1;C104;LEC
MRJR;5ie;6;MMEE;IMA201.2;C106;LEC
PGCA;5ie;6;SMEC;IMA302.1;C109;LEC
MSJM;5ie;6;PMEL;QUI201.2;C110;LEC
MMBE;5ie;6;ISFOT;ELE202.2;C200;LEC
FMGE;5ie;6;IRCOM;ELE203.2;C201;LEC
MCCA;5ie;6;SIRL;ELE304.1;C202;LEC
BMAIs;5ie;6;LEUPR;ELE302.1;C204;LEC
ISSM;5ie;6;ELTEC;ELE202.1;C205;LEC
GCCR;5ie;6;FOLAB;IFC301.1;C206;LEC
SPMA;5ie;6;SADIS;IFC301.2;C207;LEC
AVMY;5ie;6;LMSGI;IFC303.1;C208;LEC
FMCa;5ie;6;RLOCA;IFC201.1;C209;LEC
ISYO;5ie;6;DWESE;IFC303.2;C210;LEC
MDAn;5ie;6;SORED;IFC201.2;C211;LEC
LCAMa;5ie;6;EIEMP;IMA302.2;C213;LEC
LBAD;5ie;6;AMVB;TMV101.2;CAR1B;LEC
ESIS;5ie;6;EFIJ;TMV201.1;CAR3;LEC
RRAN;5ie;6;EFIJ;TMV201.1;CAR3;LEC
GMFJa;5ie;6;MEYS;TMV101.1B;ELV1;LEC
GMMA;5ie;6;SCAAR;TMV202.1;ELV3;LEC
RMJC;5ie;6;SAXMO;TMV202.2;ELV5;LEC
CMIS;5ie;6;;;;G
LFTE;5ie;6;;;;G
ABJa;5ie;6;;;;G
CAJC;5ie;6;;;;G
LALU;5ie;6;;;;CHL
ABJL;5ie;6;;;;RED
SGCA;5ie;6;;;;RED
SBAL;5ie;6;;;;RED
LSMM;5ie;6;;;;P.P.
GPA;5ie;6;;;;CHL
IGJL;5ie;6;;;;CHL
BBNO;5ie;6;;;;CHL
LLAC;5ie;6;;;;RED
LLLM;5ie;6;;;;P.P.
FAMJ;5ie;8;GCPRA;FME301.2V;a30v;LEC
FOMB;5ie;8;EBIOT;QUI301.2V;a40v;LEC
MGI;5ie;8;EFQUI;QUI301.1V;a41v;LEC
FOMB;5ie;8;EBIOT;QUI301.2V;A50;LEC
JCSA;5ie;8;PMCCO;FME301.1V;c000 b v;LEC
ALAN;5ie;8;PMCCO;FME301.1V;c000 b v;LEC
HRMA;5ie;8;CSME;IMA302.2V;c104 v;LEC
SGSU;5ie;8;MEENS;FME202.2V;c107 v;LEC
CAL;5ie;8;FBAVI;FME202.1V;c110 v;LEC
GMAN;5ie;8;FBAVI;FME202.1V;c110 v;LEC
AAA;5ie;8;DRECT;ELE302.2 V;c203 v;LEC
FRRa;5ie;8;ISAI;ELE303.2V;c204 v;LEC
DPAV;5ie;8;SPOT;ELE303.1V;c205v;LEC
RZAM;5ie;8;LEUPR;IFC301.1V;c206 v;LEC
BPJD;5ie;8;PASIR;IFC301.2V;c207 v;LEC
DFME;5ie;8;SIINF;IFC302.1V;c208 v;LEC
PAMCo;5ie;8;PROGR;IFC303.1-D;C209;LEC
HFP;5ie;8;PMDM;IFC302.2V;c210v;LEC
AMLM;5ie;8;BASRS;IFC401;c211v;LEC
GGSE;5ie;8;RGDM;IMA302.1V;c213 v;LEC
TCJM;5ie;8;BDATO;IFC302.1-D;;LEC
GRMA;5ie;8;;;;G
MMD;5ie;8;;;;G
ARMT;5ie;8;;;;P.P.
MDAn;5ie;8;;;;RED
MCRP;5ie;8;;;;AAPM
PGEl;5ie;8;;;;RED
LCAMa;5ie;8;;;;J E A
FAMJ;5ie;9;GCPRA;FME301.2V;a30v;LEC
FOMB;5ie;9;EBIOT;QUI301.2V;a40v;LEC
MGI;5ie;9;EFQUI;QUI301.1V;a41v;LEC
FOMB;5ie;9;EBIOT;QUI301.2V;A50;LEC
GRMA;5ie;9;EIEMP;IFC303.2-D;AT.TFNO;LEC
JCSA;5ie;9;PMCCO;FME301.1V;c000 b v;LEC
ALAN;5ie;9;PMCCO;FME301.1V;c000 b v;LEC
HRMA;5ie;9;CSME;IMA302.2V;c104 v;LEC
SGSU;5ie;9;MEENS;FME202.2V;c107 v;LEC
CAL;5ie;9;FBAVI;FME202.1V;c110 v;LEC
GMAN;5ie;9;FBAVI;FME202.1V;c110 v;LEC
AAA;5ie;9;DRECT;ELE302.2 V;c203 v;LEC
FRRa;5ie;9;ISAI;ELE303.2V;c204 v;LEC
DPAV;5ie;9;SPOT;ELE303.1V;c205v;LEC
RZAM;5ie;9;LEUPR;IFC301.1V;c206 v;LEC
AMLM;5ie;9;ASOPE;IFC301.2V;c207 v;LEC
DFME;5ie;9;SIINF;IFC302.1V;c208 v;LEC
PAMCo;5ie;9;PROGR;IFC303.1-D;C209;LEC
HFP;5ie;9;PMDM;IFC302.2V;c210v;LEC
MDAn;5ie;9;ANFOIN;IFC401;c211v;LEC
GGSE;5ie;9;RGDM;IMA302.1V;c213 v;LEC
TCJM;5ie;9;BDATO;IFC302.1-D;;LEC
ARMT;5ie;9;;;;G
PGEl;5ie;9;;;;G
GLLN;5ie;9;;;;G
THAC;5ie;9;;;;CHL
RMDI;5ie;9;;;;P.P.
MCRP;5ie;9;;;;TUT
MMD;5ie;9;;;;TUT
MMGE;5ie;9;;;;RED
BPJD;5ie;9;;;;P.P.
MAJM;5ie;9;;;;CHL
LCAMa;5ie;9;;;;ApJE
GRMA;5ie;10;FOLAB;QUI301.1V;a10 v;LEC
GLLN;5ie;10;FOLAB;QUI301.1V;a10 v;LEC
FOMB;5ie;10;EBIOT;QUI301.2V;a40v;LEC
FOMB;5ie;10;EBIOT;QUI301.2V;A50;LEC
JCSA;5ie;10;PMCCO;FME301.1V;c000 b v;LEC
ALAN;5ie;10;PMCCO;FME301.1V;c000 b v;LEC
HRMA;5ie;10;CSME;IMA302.2V;c104 v;LEC
SGSU;5ie;10;MEENS;FME202.2V;c107 v;LEC
PGM;5ie;10;SMEC;IMA302.1V;c109v;LEC
CAL;5ie;10;FBAVI;FME202.1V;c110 v;LEC
GMAN;5ie;10;FBAVI;FME202.1V;c110 v;LEC
MAJM;5ie;10;PIICT;ELE302.2 V;c200 v;LEC
FRRa;5ie;10;ISAI;ELE303.2V;c204 v;LEC
MMD;5ie;10;SPOT;ELE303.1V;c205v;LEC
DPAV;5ie;10;SPOT;ELE303.1V;c205v;LEC
PGEl;5ie;10;FOLAB;IFC301.1V;c206 v;LEC
AMLM;5ie;10;ASOPE;IFC301.2V;c207 v;LEC
DFME;5ie;10;SIINF;IFC302.1V;c208 v;LEC
PAMCo;5ie;10;PROGR;IFC303.1-D;C209;LEC
HFP;5ie;10;PMDM;IFC302.2V;c210v;LEC
MDAn;5ie;10;ANFOIN;IFC401;c211v;LEC
FAMJ;5ie;10;DCMET;FME301.2V;c213 v;LEC
RMDI;5ie;10;AAD;IFC302.2-D;DPTO.;LEC
TCJM;5ie;10;BDATO;IFC302.1-D;;LEC
ARMT;5ie;10;;;;G
MGI;5ie;10;;;;G
RZAM;5ie;10;;;;RED
THAC;5ie;10;;;;P.P.
AAA;5ie;10;;;;P.P.
MCRP;5ie;10;;;;P.P.
GMJO;5ie;10;;;;P.P.
MMGE;5ie;10;;;;P.P.
DGFA;5ie;10;;;;AAPM
BPJD;5ie;10;;;;P.P.
LCAMa;5ie;10;;;;ApJE
GGSE;5ie;10;;;;CHL
MMGE;5ie;11;EIEMP;FME202.2V;a10 v;LEC
RZAM;5ie;11;LEUPR;ELE303.1V;a11v;LEC
SGSU;5ie;11;RGFME;FME301.1V;a30v;LEC
GRMA;5ie;11;EIEMP;QUI301.2V;a40v;LEC
THAC;5ie;11;ANQUI;QUI301.1V;a41v;LEC
DPAV;5ie;11;ROIN;ELE303.2V;c102 v;LEC
DGFA;5ie;11;PGMC;IMA302.2V;c104 v;LEC
PGM;5ie;11;SMEC;IMA302.1V;c109v;LEC
CAL;5ie;11;FBAVI;FME202.1V;c110 v;LEC
GMAN;5ie;11;FBAVI;FME202.1V;c110 v;LEC
MAJM;5ie;11;PIICT;ELE302.2 V;c200 v;LEC
TCJM;5ie;11;LMSGI;IFC301.1V;c206 v;LEC
GLLN;5ie;11;EIEMP;IFC301.2V;c207 v;LEC
ARMT;5ie;11;PROGR;IFC302.1V;c208 v;LEC
PAMCo;5ie;11;DAWEB;IFC303.2-D;C209;LEC
DFME;5ie;11;DEDI;IFC302.2V;c210v;LEC
BPJD;5ie;11;PUPRSE;IFC401;c211v;LEC
FAMJ;5ie;11;DCMET;FME301.2V;c213 v;LEC
HFP;5ie;11;PRDAM;IFC302.2-D;;LEC
FRRa;5ie;11;;;;G
MGI;5ie;11;;;;G
JCSA;5ie;11;;;;G
HRMA;5ie;11;;;;P.P.
AAA;5ie;11;;;;RED
FOMB;5ie;11;;;;CHL
RMDI;5ie;11;;;;P.P.
MCRP;5ie;11;;;;RED
AMLM;5ie;11;;;;RED
ALAN;5ie;11;;;;TUT
GMJO;5ie;11;;;;P.P.
PGEl;5ie;11;;;;AJD
MMD;5ie;11;;;;CHL
GGSE;5ie;11;;;;CHL
MMGE;5ie;12;EIEMP;FME202.2V;a10 v;LEC
SGSU;5ie;12;RGFME;FME301.1V;a30v;LEC
MGI;5ie;12;ENFIS;QUI301.2V;a40v;LEC
THAC;5ie;12;ANQUI;QUI301.1V;a41v;LEC
MAJM;5ie;12;TPIDA;ELE302.2 V;c100 v;LEC
DPAV;5ie;12;ROIN;ELE303.2V;c102 v;LEC
DGFA;5ie;12;PGMC;IMA302.2V;c104 v;LEC
GMJO;5ie;12;IGRAF;FME202.1V;c107 v;LEC
PGM;5ie;12;SMEC;IMA302.1V;c109v;LEC
FRRa;5ie;12;INFIN;ELE303.1V;c204 v;LEC
RMDI;5ie;12;SADIS;IFC301.2V;c205v;LEC
TCJM;5ie;12;LMSGI;IFC301.1V;c206 v;LEC
ARMT;5ie;12;PROGR;IFC302.1V;c208 v;LEC
PAMCo;5ie;12;DAWEB;IFC303.2-D;C209;LEC
DFME;5ie;12;DEDI;IFC302.2V;c210v;LEC
BPJD;5ie;12;PUPRSE;IFC401;c211v;LEC
FAMJ;5ie;12;DCMET;FME301.2V;c213 v;LEC
GLLN;5ie;12;EIEMP;IFC302.2-D;;LEC
HRMA;5ie;12;;;;G
FOMB;5ie;12;;;;CHL
ALAN;5ie;12;;;;RED
PGEl;5ie;12;;;;P.P.
MMGE;5ie;13;EIEMP;ELE303.2V;a10 v;LEC
PGEl;5ie;13;EIEMP;FME301.2V;a11v;LEC
SGSU;5ie;13;RGFME;FME301.1V;a30v;LEC
MGI;5ie;13;ENFIS;QUI301.2V;a40v;LEC
THAC;5ie;13;ANQUI;QUI301.1V;a41v;LEC
MAJM;5ie;13;TPIDA;ELE302.2 V;c100 v;LEC
DGFA;5ie;13;PGMC;IMA302.2V;c104 v;LEC
GMJO;5ie;13;IGRAF;FME202.1V;c107 v;LEC
PGM;5ie;13;FABRA;FME202.2V;c110 v;LEC
FRRa;5ie;13;INFIN;ELE303.1V;c204 v;LEC
RMDI;5ie;13;SADIS;IFC301.2V;c205v;LEC
ARMT;5ie;13;GBDAT;IFC301.1V;c206 v;LEC
PAMCo;5ie;13;ENDES;IFC302.1V;c208 v;LEC
DFME;5ie;13;DEDI;IFC302.2V;c210v;LEC
HRMA;5ie;13;ELMQ;IMA302.1V;c213 v;LEC
GLLN;5ie;13;EIEMP;IFC302.2-D;;LEC
TCJM;5ie;13;;;;CHL
DPAV;5ie;13;;;;CHL
